Date,MTDATA.Death,MTDATA.DeathConfirmed
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,13,0
2020-4-10,29,0
2020-4-11,21,0
2020-4-12,22,0
2020-4-13,21,0
2020-4-14,24,0
2020-4-15,21,0
2020-4-16,21,0
2020-4-17,21,0
2020-4-18,17,0
2020-4-19,18,0
2020-4-20,19,0
2020-4-21,14,0
2020-4-22,13,0
2020-4-23,13,0
2020-4-24,12,0
2020-4-25,11,0
2020-4-26,11,0
2020-4-27,11,0
2020-4-28,10,0
2020-4-29,5,0
2020-4-30,5,0
2020-5-1,5,0
2020-5-2,5,0
2020-5-3,5,0
2020-5-4,6,0
2020-5-5,6,0
2020-5-6,6,0
2020-5-7,6,0
2020-5-8,6,0
2020-5-9,4,0
2020-5-10,4,0
2020-5-11,4,0
2020-5-12,4,0
2020-5-13,3,0
2020-5-14,3,0
2020-5-15,3,0
2020-5-16,3,0
2020-5-17,3,0
2020-5-18,4,0
2020-5-19,5,0
2020-5-20,3,0
2020-5-21,3,0
2020-5-22,3,0
2020-5-23,3,0
2020-5-24,3,0
2020-5-25,3,0
2020-5-26,2,0
2020-5-27,2,0
2020-5-28,1,0
2020-5-29,2,0
2020-5-30,2,0
2020-5-31,2,0
2020-6-1,2,0
2020-6-2,1,0
2020-6-3,1,0
2020-6-4,1,0
2020-6-5,1,0
2020-6-6,1,0
2020-6-7,2,0
2020-6-8,2,0
2020-6-9,5,0
2020-6-10,7,0
2020-6-11,7,0
2020-6-12,7,0
2020-6-13,7,0
2020-6-14,6,0
2020-6-15,7,0
2020-6-16,8,0
2020-6-17,5,0
2020-6-18,8,0
2020-6-19,9,0
2020-6-20,10,0
2020-6-21,15,0
2020-6-22,15,0
2020-6-23,15,0
2020-6-24,17,0
2020-6-25,15,0
2020-6-26,14,0
2020-6-27,9,0
2020-6-28,11,0
2020-6-29,13,0
2020-6-30,12,0
2020-7-1,14,0
2020-7-2,14,0
2020-7-3,17,0
2020-7-4,20,0
2020-7-5,20,0
2020-7-6,20,0
2020-7-7,22,0
2020-7-8,22,0
2020-7-9,24,0
2020-7-10,21,0
2020-7-11,24,0
2020-7-12,26,0
2020-7-13,28,0
2020-7-14,29,0
2020-7-15,37,0
2020-7-16,37,0
2020-7-17,45,0
2020-7-18,46,0
2020-7-19,47,0
2020-7-20,48,0
2020-7-21,49,0
2020-7-22,52,0
2020-7-23,54,0
2020-7-24,56,0
2020-7-25,59,0
2020-7-26,62,0
2020-7-27,61,0
2020-7-28,62,0
2020-7-29,59,0
2020-7-30,69,0
2020-7-31,71,0
2020-8-1,71,0
2020-8-2,72,0
2020-8-3,69,0
2020-8-4,70,0
2020-8-5,79,0
2020-8-6,87,0
2020-8-7,84,0
2020-8-8,81,0
2020-8-9,83,0
2020-8-10,80,0
2020-8-11,77,0
2020-8-12,97,0
2020-8-13,101,0
2020-8-14,86,0
2020-8-15,90,0
2020-8-16,90,0
2020-8-17,94,0
2020-8-18,97,0
2020-8-19,102,0
2020-8-20,101,0
2020-8-21,97,0
2020-8-22,110,0
2020-8-23,111,0
2020-8-24,114,0
2020-8-25,119,0
2020-8-26,125,0
2020-8-27,119,0
2020-8-28,121,0
2020-8-29,128,0
2020-8-30,131,0
2020-8-31,134,0
2020-9-1,140,0
2020-9-2,150,0
2020-9-3,151,0
2020-9-4,150,0
2020-9-5,151,0
2020-9-6,156,0
2020-9-7,163,0
2020-9-8,161,0
2020-9-9,163,0
2020-9-10,163,0
2020-9-11,142,0
2020-9-12,144,0
2020-9-13,145,0
2020-9-14,144,0
2020-9-15,109,0
2020-9-16,106,0
2020-9-17,107,0
2020-9-18,105,0
2020-9-19,104,0
2020-9-20,104,0
2020-9-21,108,0
2020-9-22,111,0
2020-9-23,124,0
2020-9-24,128,0
2020-9-25,140,0
2020-9-26,147,0
2020-9-27,148,0
2020-9-28,158,0
2020-9-29,166,0
2020-9-30,170,0
2020-10-1,178,0
2020-10-2,177,0
2020-10-3,189,0
2020-10-4,191,0
2020-10-5,201,0
2020-10-6,216,0
2020-10-7,235,0
2020-10-8,263,0
2020-10-9,266,0
2020-10-10,280,0
2020-10-11,286,0
2020-10-12,291,0
2020-10-13,294,0
2020-10-14,292,0
2020-10-15,301,0
2020-10-16,319,0
2020-10-17,324,0
2020-10-18,331,0
2020-10-19,339,0
2020-10-20,360,0
2020-10-21,345,0
2020-10-22,353,0
2020-10-23,351,0
2020-10-24,348,0
2020-10-25,357,0
2020-10-26,360,0
2020-10-27,350,0
2020-10-28,374,0
2020-10-29,373,0
2020-10-30,357,0
2020-10-31,369,0
2020-11-1,376,0
2020-11-2,386,0
2020-11-3,389,0
2020-11-4,407,0
2020-11-5,414,0
2020-11-6,437,0
2020-11-7,446,0
2020-11-8,458,0
2020-11-9,470,0
2020-11-10,487,0
2020-11-11,500,0
2020-11-12,499,0
2020-11-13,492,0
2020-11-14,435,0
2020-11-15,435,0
2020-11-16,453,0
2020-11-17,456,0
2020-11-18,463,0
2020-11-19,482,0
2020-11-20,506,0
2020-11-21,474,0
2020-11-22,477,0
2020-11-23,467,44
2020-11-24,467,41
2020-11-25,462,47
2020-11-26,455,48
2020-11-27,452,45
2020-11-28,461,47
2020-11-29,461,48
2020-11-30,477,46
2020-12-1,495,46
2020-12-2,478,45
2020-12-3,474,31
2020-12-4,483,43
2020-12-5,466,47
2020-12-6,475,44
2020-12-7,492,40
2020-12-8,479,41
2020-12-9,490,39
2020-12-10,488,37
2020-12-11,372,36
2020-12-12,365,36
2020-12-13,365,37
2020-12-14,350,36
2020-12-15,338,34
2020-12-16,311,35
2020-12-17,306,29
2020-12-18,275,35
2020-12-19,267,38
2020-12-20,258,35
2020-12-21,253,31
2020-12-22,253,27
2020-12-23,251,24
2020-12-24,241,19
2020-12-25,241,21
2020-12-26,216,21
2020-12-27,200,22
2020-12-28,213,21
2020-12-29,218,24
2020-12-30,223,26
2020-12-31,203,25
2021-1-1,203,23
2021-1-2,194,23
2021-1-3,192,22
2021-1-4,191,22
2021-1-5,212,22
2021-1-6,219,21
2021-1-7,208,21
2021-1-8,205,21
2021-1-9,204,22
2021-1-10,201,17
2021-1-11,207,18
2021-1-12,187,21
2021-1-13,199,21
2021-1-14,192,21
2021-1-15,188,17
2021-1-16,190,17
2021-1-17,172,17
2021-1-18,169,17
2021-1-19,163,13
2021-1-20,159,13
2021-1-21,137,12
2021-1-22,138,14
2021-1-23,141,15
2021-1-24,135,15
2021-1-25,129,15
2021-1-26,128,16
2021-1-27,118,15
2021-1-28,114,15
2021-1-29,103,17
2021-1-30,101,15
2021-1-31,101,15
2021-2-1,108,15
2021-2-2,116,13
2021-2-3,121,13
2021-2-4,115,13
2021-2-5,102,14
2021-2-6,107,10
2021-2-7,101,10
2021-2-8,101,10
2021-2-9,102,14
2021-2-10,108,11
2021-2-11,111,12
2021-2-12,100,13
2021-2-13,92,15
2021-2-14,92,15
2021-2-15,92,15
2021-2-16,96,11
2021-2-17,91,14
2021-2-18,109,13
2021-2-19,96,12
2021-2-20,78,11
2021-2-21,78,11
2021-2-22,78,11
2021-2-23,85,13
2021-2-24,97,12
2021-2-25,75,6
2021-2-26,76,7
2021-2-27,68,6
2021-2-28,68,6
2021-3-1,68,6
2021-3-2,83,7
2021-3-3,67,7
2021-3-4,73,7
2021-3-5,67,7
2021-3-6,63,6
2021-3-7,63,6
